Leitura	Matemática	Ciências
555	591	590
549	569	551
525	558	544
524	551	530
523	531	529
520	527	522
520	526	519
518	523	518
514	519	517
512	516	516
506	515	511
506	512	508
505	509	507
504	509	505
504	508	503
503	507	503
503	502	503
501	502	502
499	501	499
498	500	499
495	500	497
493	499	496
493	499	495
492	496	493
490	495	493
485	495	492
484	494	490
484	492	490
479	491	487
479	488	483
479	487	482
476	486	481
476	483	478
476	481	477
474	481	475
474	481	472
470	478	471
470	472	469
466	472	468
466	464	468
458	463	464
457	454	462
452	453	457
448	451	452
439	451	444
432	448	440
428	440	439
427	437	438
426	436	434
424	435	431
424	430	429
421	430	428
420	430	426
420	423	426
419	421	426
415	420	424
413	419	419
412	418	419
408	417	417
407	414	416
405	409	415
403	406	413
402	402	413
401	400	404
399	400	404
393	398	404
393	394	398
389	393	398
387	391	397
380	384	396
377	379	386
371	379	384
359	373	383
353	368	377
353	366	365
342	353	365
340	353	357
	325	336
